序号,舆情分类,问题简述,问题细分,备注,父记录
,体验需求类,OTA建议,希望OTA更新,,
,体验需求类,更多品牌手机数字钥匙,华为/安卓手机数字钥匙,需求规划,
,体验需求类,哨兵模式需求增加项,哨兵模式视觉可选择放大,,
,体验需求类,哨兵模式需求增加项,哨兵模式灵敏度,,
,体验需求类,哨兵模式需求增加项,"哨兵模式非""常住地""常开",,
,体验需求类,哨兵模式需求增加项,哨兵模式入口放在显眼位置,,
,体验需求类,哨兵模式需求增加项,增加哨兵模式常开开关,已终止,
,体验需求类,哨兵模式需求增加项,哨兵模式鱼眼视野,,
,体验需求类,哨兵模式需求增加项,哨兵模式远程查看,,
,体验需求类,Carplay优化建议,使用carplay时PSD显示完整歌词,完成,
,体验需求类,Carplay优化建议,Carplay小屏及大屏可设置,,
,体验需求类,Carplay优化建议,蓝牙与Carplay相互抢夺车机使用权,,
,体验需求类,Carplay优化建议,语音控制carplay,,
,体验需求类,车机播放音乐优化,音质优化,已终止,
,体验需求类,车机播放音乐优化,播放本地视频,已终止,
,体验需求类,车机播放音乐优化,QQ音乐歌单模式下无法单曲收藏,,
,体验需求类,车机播放音乐优化,歌词一直残留在PSD,,
,体验需求类,车机播放音乐优化,不能回到主界面,,
,体验需求类,车机播放音乐优化,QQ音乐app增加猜你喜欢,已规划,
,体验需求类,车机播放音乐优化,EQ音乐均衡器太简单,,
,体验需求类,车机播放音乐优化,"音乐不支持杜比时,自动切换到最高音质",,
,体验需求类,车机播放音乐优化,HyperMusic歌曲少,,
,体验需求类,车机播放音乐优化,杜比音效频道素材少,,
,体验需求类,手机APP建议,手机实时查看车辆周边环境,,
,体验需求类,手机APP建议,手机及车机端可降蔚来充电桩地锁,,
,体验需求类,手机APP建议,手机APP可操作OTA下载、安装,已规划,
,体验需求类,手机APP建议,手机app座椅加热功能必须等待上个操作完成,,
,体验需求类,手机APP建议,APP直进直出功能隐藏太深,,
,体验需求类,手机APP建议,APP增加后备箱开闭控制,,
,体验需求类,手机APP建议,APP在折叠屏手机体验不好,,
,体验需求类,手机APP建议,APP后备箱显示未关闭,已终止,
,体验需求类,手机APP建议,APP可调节天幕,,
,体验需求类,手机APP建议,app加入平均速度和能耗显示,,
,体验需求类,手机APP建议,APP可预约出行温度调节,,
,体验需求类,手机APP建议,APP可预约出行使用充电桩预热,,
,体验需求类,手机APP建议,鸿蒙系统APP更新适配,,
,体验需求类,空调建议,空调同步不记忆,完成,
,体验需求类,空调建议,空调负氧离子开关记忆,,
,体验需求类,空调建议,出风口自动摆风,需求规划,
,体验需求类,空调建议,空调实体按键,完成,
,体验需求类,充电建议,车机端闪充预约,已规划,
,体验需求类,充电建议,充电历史查询,,
,体验需求类,充电建议,路特斯闪充站未纳入高德充电站筛选,,
,体验需求类,充电建议,20kw的充电站归类到慢充类别,,
,体验需求类,充电建议,家充桩共享,,
,体验需求类,充电建议,预约充电后随时可以开始或暂停,,
,体验需求类,行车记录仪需求,行车记录仪视频导出便捷化（U盘，APP等）,,
,体验需求类,行车记录仪需求,行车记录仪多视角,,
,体验需求类,座椅建议,座椅随动支撑,,
,体验需求类,座椅建议,座椅记忆安全带插上后再动作,,
,体验需求类,座椅建议,座椅不舒适,已终止,
,体验需求类,座椅建议,座椅按摩噪音优化,,
,体验需求类,座椅建议,儿童座椅插口易藏异物,,
,体验需求类,座椅建议,副驾驶座椅更多功能,已规划,
,体验需求类,座椅建议,后排安全带提醒可语音关闭,,
,体验需求类,自定义设置,负一屏快捷菜单,已规划,
,体验需求类,自定义设置,负一屏功能区自定义,,
,体验需求类,自定义设置,方向盘拨片功能自定义,,
,体验需求类,自定义设置,动能回收开关自定义,,
,体验需求类,自定义设置,自定义字体大小,,
,体验需求类,自定义设置,自定义查询能耗曲线,,
,体验需求类,自定义设置,自定义方向盘按键,,
,体验需求类,自定义设置,副驾座椅记忆位置名称自定义,,
,体验需求类,自定义设置,预约出行初始充电自定义,,
,体验需求类,自定义设置,地图收藏位置名称自定义,,
,体验需求类,更多语音功能,自定义智能语音唤醒词,已终止,
,体验需求类,增加模式,休憩模式,需求规划,
,体验需求类,增加模式,洗车模式,,
,体验需求类,增加模式,代驾模式睡眠模式,,
,体验需求类,增加模式,宠物模式,,
,体验需求类,增加模式,白天模式,完成,
,体验需求类,增加模式,露营模式,已规划,
,体验需求类,HUD显示内容优化,,需求规划,
,体验需求类,增加后排娱乐功能,,已终止,
,体验需求类,悬架高度记忆,,已规划,
,体验需求类,车机启动慢,,完成,
,体验需求类,APP图标不美观,,,
,体验需求类,对外放电,,完成,
,体验需求类,内外饰硬件升级,手套箱密码锁,,
,体验需求类,低速提示音问题,,已规划,
,体验需求类,打转向灯显示对应侧视频,,,
,体验需求类,Emeya EQ调节,,已规划,
,体验需求类,模拟声浪品质差,,,
,体验需求类,自动泊车车位识别率低,,已终止,
,体验需求类,新增档位功能,开门自动回P档位,已终止,
,体验需求类,手机APP建议,APP全屏显示,,
,体验需求类,泊车功能优化,直进直出障碍物提醒,,
,体验需求类,泊车功能优化,循迹倒车功能,,
,体验需求类,泊车功能优化,记忆泊车收藏路线名称自定义,,
,体验需求类,白天/黑夜模式自动切换,,需求规划,
,体验需求类,流媒体后视镜清洁模式,,,
,体验需求类,后备箱12V电源持续供电,,,
,体验需求类,尾翼记忆,,已规划,
,体验需求类,越野模式显示海拔,,,
,体验需求类,充电建议,手动按钮激活电池预热,,
,体验需求类,胎压显示优化,,已规划,
,体验需求类,锁车提示音,,已规划,
,体验需求类,HUD 增加Auto Hold图标,,已规划,
,体验需求类,增加怠速蠕动开关,,已终止,
,体验需求类,CSD亮度问题,,完成,
,体验需求类,窄道/障碍物靠近出AVM,,完成,
,体验需求类,主动气坝可视&可控,,,
,体验需求类,增加软件商店,,,
,体验需求类,透明底盘,,,
,体验需求类,取消行车时不能播放视频的限制,,,
,体验需求类,内外饰硬件升级,更多的氛围灯效果,,
,体验需求类,车控分享后可关闭车辆位置共享,,完成,
,体验需求类,行车记录仪需求,维保过程中关闭行车记录仪,已规划,
,体验需求类,投屏功能优化,,,
,体验需求类,驾驶员自动识别,,,
,体验需求类,地图导航优化,增加导航语音包,,
,体验需求类,增加后排液晶平板,,,
,体验需求类,悬架舒适进出,,,
,体验需求类,行车中可开启后视影像,,完成,
,体验需求类,无线充电功率小,,,
,体验需求类,拖挂时能够使用巡航功能,,,
,体验需求类,四门两盖未关提示不明显,,,
,体验需求类,脚踢开启功能可关闭,,,
,体验需求类,即插即充支持其他品牌,,,
,体验需求类,后备箱盖打开防碰撞,,,
,体验需求类,动能回收图标优化,,,
,体验需求类,充电建议,地图区分蔚来充电站（是否可用、是否免费）,已规划,
,体验需求类,挡位提示音,,,
